trip_id,taxi_id,trip_seconds,trip_miles,trip_tips},trip_tolls,trip_extras,trip_total,trip_start_hour,trip_end_hour,trip_junk,trip_location_grid_start,trip_location_grid_end
0002ff7677ba164036970dffe80bc008e04a65fb,e2252e4d7dd9d448ee731c06e763dbef7fbbc169bc0f67effa469f15587e7118ffc6ddb16d1c52f8282473d9c51b8bcf6210ee771170cc9623df5f06dc0bbd4a,480,1.6,2.00,0.00,0.50,10.50,31,31,24,7,9
00033f2e4a37704cfa3be861e41a67c392eb96d1,926a1d27c99ffff61bbbb46f2aa23d8f26153abd889852c722b562d0a4721ce3c77118f5e764bc1a74a81c3f48f42a96282a2d70b3fa6bb97febc22c4ca410fb,111,0,0.00,0.00,0.00,3.50,16,16,12,17,17
00034299328781ea112fcc9740a5cb808ac4011f,7a94870d6dd64df1780e28ebf8ca00311621929b717fa4081d4c476fe4dee4469db07c62388fc97517590883cda61fdc2497ab25f4b699a4d4fb03f53407c334,1680,1.1,10.65,0.00,5.00,63.40,32,33,1,14,0
00039159bde98c6b714dffee0dd64ee3e6329c60,fbdfc1bdf8477e6043d2012f98283fdbc6212192a065ab74139d395474c9b457a155bb187a5d8887a68a7f1aaedd46a0e845314554f731c473c3f1a183c09b47,841,5.11,0.00,0.00,1.00,17.25,0,1,15,15,21
00043ec204451f877106c5621b77617ed60ff2c0,3284b3b2e25e89191c37917af7a46b6c87baf90075ce7a40e8b97fb8aa73bcd02a2579a6be5f35fcbc0067150869315a9a7f87504f8935fb771f2fc2fb0583f5,0,0,0.00,0.00,4.50,8.25,5,5,7,17,17
00047175374a62715937a9e42e69f9e45bb556d2,ae7a61c41decb6f41d165aba54911ea50c4fbf9f4181425accb6e841dd3555cc01d290341f71c81ee1b8b8c00fb53eec2eb30a8e5e3940c17375aef65326b214,1260,1,9.50,0.00,4.00,56.50,2,20,1,8,4
0004820b9c28485a434650471db67e6e48125c29,879d97be59c78326dee0984df438f3eff4c16212284a13baa54cd7ccc0af9611188dc3ab908776ec1363933a63dfd55bc2b2d7690a4cb2fcbc3660148ec594a3,660,2,0.00,0.00,0.00,8.75,34,34,7,26,32
0004a3b20f10c5adc7c634810d472b3940cd82e6,b44b9418403663617eccf4429dda6d5c6914679c4a06e474bea1f0d2cb94d98bb49a2d19caa08253266b5228389b60ca9328b655e065bfa0932b03503b1c7be8,480,1.4,0.00,0.00,0.00,7.25,35,12,7,29,29
0004ed436801ba882bc12eb12434513b452f15dd,020531ad67ef679261206ce9876298202b29824371fcf9436a74c01a2548a0dc4ac6679c2e061482fdd38fe3634c658ea36faa632bff175fed53eb2c27389ce7,540,0,0.00,0.00,0.00,7.50,36,36,3,33,30
00054ed62ed80547941effe3ec16e7f7bfee27ef,d5913e96772aab69242fe46e2b0e0b7656c89b5997e30c911a52c84f43f6cc2453c418b29662f129184e5a528810eb84de721b3bfa5aa4b68847680f3a6fbda5,1071,2.5,0.00,0.00,0.00,11.75,37,16,18,34,35
000560dcd11122728fa37ed6852fef4b42e655e9,4e512eba3e2bb898b4556fa255abe84f58dee48b6972b4a17d90eb733aba16a4314e37c98973021f9256d90cb84d4705ce5c06e3cd1ea7ba9343d30217cf0713,900,3.1,2.90,0.00,2.00,16.90,38,23,25,36,24
000570b4efdcd17f646625fbf2c19f96b3120926,e1b3ecea44f9558d957d370ef239868c23125e1c6b28852ace24cd5fabe33130cdd81ca4969053cb18b650e2be25e03786c7e42e5ee868800ef8228005da4841,1380,0.4,0.00,0.00,0.00,22.50,39,9,17,37,38
0005b5ef057db266c37012659f6a40bd31d9c44a,f892614bf893b49cba778a71b629054fe7bf5ebad54364c96dbbf2ba782c04a49e17347a31f4d5e8c0c06713d50a99d92d4fb62e6a57f243fe872495ae8ab415,813,1.7,5.00,0.00,0.00,14.50,29,30,26,13,26
0006256f9d66ff1629e15a9a9c0cba07403d1070,86b44661584b9869c822d267a43f47b84ccaf76bfc402afea0028990b0e8329b4d79763b0d148412f5eafaf59bd8aa4c2c73f501efac831794acdf90cefe0a0f,1902,1.41,0.00,0.00,4.00,40.75,40,31,0,8,16
